N S_rec
100 0.9500000000
600 0.9229166667
1100 0.9295454545
1600 0.9437500000
2100 0.9654761905
2600 0.9403846154
3100 0.9584677419
3600 0.9534722222
4100 0.9515243902
4600 0.9456521739
5100 0.9409313725
5600 0.9357142857
6100 0.9549180328
6600 0.9376893939
7100 0.9383802817
7600 0.9468750000
8100 0.9479938272
8600 0.9452034884
9100 0.9456043956
9600 0.9385416667
10100 0.9387376238
10600 0.9397405660
11100 0.9438063063
11600 0.9480603448
12100 0.9369834711
12600 0.9459325397
13100 0.9378816794
13600 0.9465992647
14100 0.9484042553
14600 0.9392979452
15100 0.9432119205
15600 0.9445512821
16100 0.9426242236
16600 0.9454819277
17100 0.9448099415
17600 0.9429687500
18100 0.9535911602
18600 0.9461693548
19100 0.9468586387
19600 0.9468750000
20100 0.9424129353
20600 0.9395631068
21100 0.9425947867
21600 0.9454282407
22100 0.9413461538
22600 0.9439712389
23100 0.9374458874
23600 0.9396186441
24100 0.9460062241
24600 0.9438008130
25100 0.9470617530
25600 0.9427734375
26100 0.9469348659
26600 0.9378289474
27100 0.9464944649
27600 0.9456974638
28100 0.9444395018
28600 0.9473339161
29100 0.9408075601
29600 0.9428209459
30100 0.9459717608
30600 0.9429330065
31100 0.9422025723
31600 0.9466772152
32100 0.9405373832
32600 0.9441717791
33100 0.9468277946
33600 0.9410342262
34100 0.9480205279
34600 0.9425578035
35100 0.9459045584
35600 0.9435744382
36100 0.9441828255
36600 0.9425204918
37100 0.9422843666
37600 0.9451130319
38100 0.9448818898
38600 0.9398963731
39100 0.9452685422
39600 0.9434027778
40100 0.9414588529
40600 0.9379926108
41100 0.9411800487
41600 0.9473858173
42100 0.9480997625
42600 0.9426936620
43100 0.9434744780
43600 0.9416571101
44100 0.9411564626
44600 0.9396860987
45100 0.9469789357
45600 0.9421052632
46100 0.9459598698
46600 0.9445278970
47100 0.9452494692
47600 0.9421218487
48100 0.9475311850
48600 0.9431841564
49100 0.9441446029
49600 0.9432459677
50100 0.9474550898
50600 0.9459239130
51100 0.9431506849
51600 0.9397529070
52100 0.9471209213
52600 0.9443916350
53100 0.9458097928
53600 0.9444962687
54100 0.9469500924
54600 0.9467948718
55100 0.9470735027
55600 0.9409397482
56100 0.9441622103
56600 0.9421598940
57100 0.9458844133
57600 0.9447265625
58100 0.9471600688
58600 0.9455631399
59100 0.9449238579
59600 0.9454488255
60100 0.9451123128
60600 0.9427805281
61100 0.9469312602
61600 0.9439326299
62100 0.9426127214
62600 0.9449281150
63100 0.9456418384
63600 0.9449488994
64100 0.9435647426
64600 0.9418150155
65100 0.9437788018
65600 0.9455602134
66100 0.9450832073
66600 0.9436186186
67100 0.9449329359
67600 0.9443602071
68100 0.9431167401
68600 0.9406341108
69100 0.9446273517
69600 0.9451329023
70100 0.9460592011
70600 0.9445290368
71100 0.9449542897
71600 0.9446752793
72100 0.9454403606
72600 0.9418904959
73100 0.9473153215
73600 0.9449898098
74100 0.9447874494
74600 0.9431300268
75100 0.9464047936
75600 0.9447585979
76100 0.9436103811
76600 0.9470789817
77100 0.9448119326
77600 0.9430573454
78100 0.9449743918
78600 0.9436227735
79100 0.9460335019
79600 0.9468435930
80100 0.9479088639
80600 0.9445254342
81100 0.9449907522
81600 0.9437806373
82100 0.9434378806
82600 0.9454449153
83100 0.9456077016
83600 0.9454694976
84100 0.9435790725
84600 0.9451979905
85100 0.9454465335
85600 0.9439836449
86100 0.9416957027
86600 0.9423210162
87100 0.9474167623
87600 0.9422517123
88100 0.9432179342
88600 0.9458380361
89100 0.9454124579
89600 0.9452427455
90100 0.9422308546
90600 0.9420529801
91100 0.9475301866
91600 0.9430540393
92100 0.9443132465
92600 0.9430750540
93100 0.9428705693
93600 0.9467013889
94100 0.9446599362
94600 0.9423890063
95100 0.9455967403
95600 0.9433446653
96100 0.9434703434
96600 0.9442546584
97100 0.9424176107
97600 0.9443775615
98100 0.9488914373
98600 0.9479589249
99100 0.9461654894
99600 0.9454944779
