N S_rec
100 1.2638776741
600 1.0046207153
1100 0.9280220684
1600 1.0269006102
2100 0.8981401787
2600 0.9722135955
3100 0.9094901377
3600 0.9425070690
4100 0.9390160581
4600 0.8728787281
5100 0.9417127768
5600 0.8958253844
6100 0.9451191182
6600 0.9530639338
7100 0.9229182583
7600 0.9875643365
8100 0.9926180784
8600 0.9258638776
9100 0.9700768623
9600 1.0076588828
10100 0.9346726745
10600 0.9180998199
11100 0.9205373774
11600 0.9361746433
12100 0.9762310071
12600 0.9297757005
13100 0.9877986989
13600 0.9407596262
14100 0.9260162119
14600 0.9089531218
15100 0.9960360478
15600 0.9834314447
16100 0.9625518455
16600 0.9552291411
17100 0.9688023197
17600 0.9318888271
18100 0.9233343484
18600 0.9685547271
19100 0.9034969278
19600 0.9330274353
20100 0.9209426298
20600 0.9278504509
21100 0.9362739460
21600 0.9285540035
22100 0.9299816927
22600 0.9446818831
23100 0.9650587768
23600 0.9610908128
24100 0.9528500052
24600 0.9350639703
25100 0.9361913388
25600 0.9403128369
26100 0.9338465456
26600 0.9382226690
27100 0.9316747998
27600 0.9845423911
28100 0.9421130322
28600 0.9507977016
29100 0.9775590998
29600 0.9370693878
30100 0.9476660097
30600 0.9204257471
31100 0.9309492242
31600 0.9072968016
32100 0.9213313886
32600 0.9552147688
33100 0.9540029481
33600 0.9525378442
34100 0.9722135955
34600 0.9331564597
35100 0.9320509256
35600 0.9571934416
36100 0.9547083646
36600 0.9504317608
37100 0.9452222207
37600 0.9396340974
38100 0.9273029412
38600 0.9392187818
39100 0.9540622931
39600 0.9331777466
40100 0.9537876022
40600 0.9370127584
41100 0.9390968307
41600 0.9551531165
42100 0.9495824952
42600 0.9489352418
43100 0.9440171455
43600 0.9249408243
44100 0.9490656527
44600 0.9560826973
45100 0.9635908585
45600 0.9430045467
46100 0.9350965472
46600 0.9482211999
47100 0.9484758962
47600 0.9605715419
48100 0.9364377522
48600 0.9430071788
49100 0.9260780013
49600 0.9451641043
50100 0.9077874650
50600 0.9528077510
51100 0.9271226714
51600 0.9247333966
52100 0.9169784277
52600 0.9317355009
53100 0.9608619490
53600 0.9317651567
54100 0.9339360547
54600 0.9807605282
55100 0.9469819178
55600 0.9465093871
56100 0.9411928765
56600 0.9277253762
57100 0.9381605799
57600 0.9345740761
58100 0.9317186402
58600 0.9400276847
59100 0.9526377211
59600 0.9681355183
60100 0.9384045037
60600 0.9284158543
61100 0.9422993310
61600 0.9319677405
62100 0.9490432876
62600 0.9524897734
63100 0.9284562799
63600 0.9428637511
64100 0.9241337656
64600 0.9588193215
65100 0.9411505497
65600 0.9545774038
66100 0.9389730096
66600 0.9437478821
67100 0.9348319103
67600 0.9260478316
68100 0.9436610670
68600 0.9204850296
69100 0.9432300932
69600 0.9515400880
70100 0.9475268594
70600 0.9432950608
71100 0.9489679821
71600 0.9409832705
72100 0.9397165807
72600 0.9531978475
73100 0.9434860802
73600 0.9291508737
74100 0.9412497077
74600 0.9448456525
75100 0.9467107888
75600 0.9570388330
76100 0.9492177417
76600 0.9435294868
77100 0.9317362201
77600 0.9537966627
78100 0.9394745205
78600 0.9480937926
79100 0.9519335395
79600 0.9529158885
80100 0.9366507262
80600 0.9192605225
81100 0.9427235160
81600 0.9448105162
82100 0.9543324441
82600 0.9421997375
83100 0.9448371838
83600 0.9482571361
84100 0.9501335959
84600 0.9334859381
85100 0.9511927610
85600 0.9339383640
86100 0.9533564909
86600 0.9378605516
87100 0.9554705370
87600 0.9311497793
88100 0.9541156353
88600 0.9541080376
89100 0.9572648567
89600 0.9534420607
90100 0.9290520596
90600 0.9477472931
91100 0.9567392847
91600 0.9549132881
92100 0.9585962715
92600 0.9454409749
93100 0.9488219902
93600 0.9390793928
94100 0.9295436470
94600 0.9435404884
95100 0.9449180087
95600 0.9409929288
96100 0.9495522172
96600 0.9477572908
97100 0.9353676014
97600 0.9512950653
98100 0.9452572145
98600 0.9466757333
99100 0.9500420241
99600 0.9470297494
