n,type,avg_th5,avg_th10,avg_th20,avg_th30,avg_th50
500,random,46.8,42.2,40.8,39.2,42.2
500,reversed,25.2,24.2,25,25,32
500,nearly,17.2,16.8,16,16,15.6
600,random,57.2,52.6,51,50.2,53.4
600,reversed,31,30.2,32,31.2,48
600,nearly,19.8,19,18,18,17
700,random,68.8,64.2,62,60.6,65
700,reversed,36.4,35.2,34.8,40,64
700,nearly,22.2,21.8,20.2,21.4,17
800,random,79.2,73.2,70.8,71.8,83.2
800,reversed,42.6,40.4,40.4,48.4,80
800,nearly,28.4,27.4,27,25.6,24
900,random,88.8,82.6,80,82.4,80.4
900,reversed,46.8,44.6,45,60.2,59
900,nearly,31.6,31,30,28,28
1000,random,102.4,96,92.8,91.6,96.2
1000,reversed,52.6,51.4,50.6,48.4,62
1000,nearly,36.4,36.8,34.4,34,34.6
1100,random,112.6,107.6,99.2,97.4,99.4
1100,reversed,57.2,57.4,56.4,55,73
1100,nearly,40.4,39.2,38.8,38,36
1200,random,125.4,114.4,106.4,105.4,111.2
1200,reversed,61.8,60.8,63.6,64,86.8
1200,nearly,40.6,40.8,38.2,37.8,36
1300,random,137.2,134,122.8,127.6,133.6
1300,reversed,67.8,66,71.8,74,111.8
1300,nearly,47.4,46.2,44.6,43.4,42.6
1400,random,147.4,139.8,136.2,134,148.6
1400,reversed,73,70.8,72.6,80.6,126
1400,nearly,55.4,56.6,54.8,52.8,49.6
1500,random,161.6,152,146.2,144.6,177.4
1500,reversed,80.6,76.2,77.6,90.8,146.6
1500,nearly,59.4,58.8,56.8,54.8,52.2
1600,random,174.8,164.2,158,165.6,180.4
1600,reversed,86.2,83.2,86,99.6,161.2
1600,nearly,63.2,62.2,61.6,58.6,55.2
1700,random,190.4,176,167.6,170.6,169.2
1700,reversed,91,87.6,89,109.4,109.2
1700,nearly,67.4,65.8,66.8,64.6,63.6
1800,random,201.4,189,183.8,187.8,201.6
1800,reversed,99.4,95.4,98.8,130.2,130.4
1800,nearly,72.4,69.4,68,65,66.2
1900,random,212.8,199.4,190.8,195.4,197.4
1900,reversed,107.6,105.4,106.2,135.8,130.8
1900,nearly,79.2,78,74.4,70.6,70.4
2000,random,221.4,211.6,208.6,200.2,206.8
2000,reversed,108.8,106.6,111.2,109,147.2
2000,nearly,82,82,79.2,80.2,75.6
2100,random,233.6,222.4,215.6,215,227.6
2100,reversed,120.8,117.2,126.4,121,149.6
2100,nearly,90.2,87.4,84.2,84.8,80.6
2200,random,246,231.6,224.4,219.6,225.2
2200,reversed,123.8,120.8,123.8,123.2,159.6
2200,nearly,94.6,94.2,92,91,87.4
2300,random,268.4,255.4,245.6,241.6,254.4
2300,reversed,139.4,132.6,136,133.8,172.2
2300,nearly,102.8,99,97.4,96,93.4
2400,random,280.4,266.6,261.6,256.8,277
2400,reversed,141.8,139,151,150.4,192.2
2400,nearly,101.6,97.6,91.4,90,87.8
2500,random,302,275.6,274.2,265,284.6
2500,reversed,154,152.4,162.6,162.4,219.4
2500,nearly,115.6,109.8,113,113.2,106.6
2600,random,318.6,289.8,285.6,280.6,291.2
2600,reversed,153.8,150,161,164,217.4
2600,nearly,114.2,115.2,112.4,105.2,101.8
2700,random,332,304.2,314.6,300,317
2700,reversed,157.2,155.6,152.4,167.8,233.2
2700,nearly,117.6,121.2,114.8,109.6,110.2
2800,random,340.6,328.6,319.4,305,343
2800,reversed,170.2,162.2,167.8,172.4,242
2800,nearly,123.8,116.8,115.2,118.8,109
2900,random,356.6,344.6,331.8,332.6,352.6
2900,reversed,181.8,183.6,176.2,195.8,286.8
2900,nearly,140.4,138.6,134.8,132.4,125.6
3000,random,374,349.8,340.6,338.2,355.2
3000,reversed,186,183.6,181.4,197.4,283.8
3000,nearly,139.2,139.6,132.4,125.4,120.2
3100,random,392,364.4,357.2,346,366.6
3100,reversed,190.6,184.6,182.4,199.6,295
3100,nearly,143.6,139.8,138.2,135,127.8
3200,random,408.2,376.4,361.6,362,387.2
3200,reversed,197.2,194,195.2,210.8,310.6
3200,nearly,152,139.4,136.4,131.4,130.4
3300,random,419.4,397.8,381.6,380.6,384.2
3300,reversed,205.8,192.8,191.8,218,220.8
