n,type,avg_time_micro
500,random,50
500,reversed,33.8
500,nearly,31.2
600,random,63.4
600,reversed,42
600,nearly,39.2
700,random,76.4
700,reversed,50.4
700,nearly,47
800,random,89.6
800,reversed,58
800,nearly,54.2
900,random,103
900,reversed,65.4
900,nearly,83.8
1000,random,112.4
1000,reversed,71.4
1000,nearly,70
1100,random,126.4
1100,reversed,78
1100,nearly,77.6
1200,random,137.4
1200,reversed,87.4
1200,nearly,85.2
1300,random,152
1300,reversed,95.8
1300,nearly,92.4
1400,random,162.6
1400,reversed,97.6
1400,nearly,103.6
1500,random,171.8
1500,reversed,111.4
1500,nearly,111.6
1600,random,191.2
1600,reversed,120.6
1600,nearly,121.4
1700,random,207.6
1700,reversed,125
1700,nearly,128.4
1800,random,222.4
1800,reversed,131.4
1800,nearly,135.4
1900,random,235.6
1900,reversed,143
1900,nearly,145.8
2000,random,243.4
2000,reversed,144.2
2000,nearly,143.6
2100,random,249.8
2100,reversed,155
2100,nearly,169
2200,random,281.6
2200,reversed,169.8
2200,nearly,167.8
2300,random,296.6
2300,reversed,178
2300,nearly,169.2
2400,random,306.6
2400,reversed,189.4
2400,nearly,182
2500,random,326.6
2500,reversed,195.4
2500,nearly,195.2
2600,random,340.2
2600,reversed,198.4
2600,nearly,204.2
2700,random,359.8
2700,reversed,211.4
2700,nearly,222.4
2800,random,370.4
2800,reversed,223.6
2800,nearly,228.2
2900,random,385.2
2900,reversed,233.2
2900,nearly,233.2
3000,random,398.4
3000,reversed,242
3000,nearly,235.6
3100,random,407.4
3100,reversed,248.4
3100,nearly,249.8
3200,random,425.2
3200,reversed,259.6
3200,nearly,268
3300,random,442
3300,reversed,266.2
3300,nearly,265.4
3400,random,452.2
3400,reversed,273.2
3400,nearly,274.4
3500,random,469.4
3500,reversed,278.4
3500,nearly,282.4
3600,random,481.8
3600,reversed,274.2
3600,nearly,298.8
3700,random,492.8
3700,reversed,302.4
3700,nearly,294.8
3800,random,514.6
3800,reversed,319.2
3800,nearly,314.6
3900,random,522.4
3900,reversed,310
3900,nearly,319.2
4000,random,543.4
4000,reversed,311.2
4000,nearly,337
4100,random,563.4
4100,reversed,309
4100,nearly,324.8
4200,random,576.8
4200,reversed,321.8
4200,nearly,326.4
4300,random,580.2
4300,reversed,346.8
4300,nearly,353
4400,random,604.6
4400,reversed,356.4
4400,nearly,360.2
4500,random,618.8
4500,reversed,371.8
4500,nearly,376.2
4600,random,638.4
4600,reversed,376.6
4600,nearly,397.8
4700,random,695.4
4700,reversed,409.4
4700,nearly,420.4
4800,random,670.6
4800,reversed,386.6
4800,nearly,391.8
4900,random,678
4900,reversed,363.6
4900,nearly,398
5000,random,691.2
5000,reversed,418
5000,nearly,411.6
5100,random,713.6
5100,reversed,401
5100,nearly,402.6
5200,random,725.2
5200,reversed,422.2
5200,nearly,445.4
5300,random,750
5300,reversed,408.6
5300,nearly,406.6
5400,random,711.6
5400,reversed,449.4
5400,nearly,465
5500,random,773.2
5500,reversed,466
5500,nearly,461.6
5600,random,822.8
5600,reversed,450
5600,nearly,494
5700,random,827.4
5700,reversed,464
5700,nearly,482
5800,random,832.2
5800,reversed,477.2
5800,nearly,501.6
5900,random,849.6
5900,reversed,487.2
5900,nearly,510.2
6000,random,862.6
6000,reversed,488.4
6000,nearly,519.4
6100,random,874
6100,reversed,505
6100,nearly,495.2
6200,random,808.6
6200,reversed,491
6200,nearly,503.8
6300,random,881
6300,reversed,510.6
6300,nearly,517.6
6400,random,898.2
6400,reversed,540.2
6400,nearly,540.4
6500,random,931.4
6500,reversed,541.6
6500,nearly,566.6
6600,random,913.6
6600,reversed,538.8
6600,nearly,569
6700,random,921.6
6700,reversed,528.2
6700,nearly,579.8
6800,random,999.6
6800,reversed,556.2
6800,nearly,561.8
6900,random,958.4
6900,reversed,568.4
6900,nearly,590.2
7000,random,948
7000,reversed,552
7000,nearly,558
7100,random,956.8
7100,reversed,578
7100,nearly,607.4
7200,random,1032.6
7200,reversed,599.8
7200,nearly,603
7300,random,987.8
7300,reversed,647.8
7300,nearly,635.8
7400,random,1068
7400,reversed,664.8
7400,nearly,640.6
7500,random,1080.4
7500,reversed,656.6
7500,nearly,653.8
7600,random,1100.2
7600,reversed,638.8
7600,nearly,672.4
7700,random,1110.8
7700,reversed,680.8
7700,nearly,676.2
7800,random,1130
7800,reversed,684.8
7800,nearly,684
7900,random,1141
7900,reversed,684.4
7900,nearly,689.6
8000,random,1175.2
8000,reversed,686.8
8000,nearly,700.8
8100,random,1151.6
8100,reversed,682.8
8100,nearly,714.8
8200,random,1213.6
8200,reversed,677.4
8200,nearly,724.4
8300,random,1159
8300,reversed,715.2
8300,nearly,719
8400,random,1205.6
8400,reversed,670.2
8400,nearly,710
8500,random,1260
8500,reversed,680.8
8500,nearly,711
8600,random,1256.4
8600,reversed,703.6
8600,nearly,746.6
8700,random,1284.2
8700,reversed,738
8700,nearly,744.8
8800,random,1296.2
8800,reversed,746.4
8800,nearly,744
8900,random,1299.4
8900,reversed,786
