t_index,prefix_size,F0_mean,Nt_mean,Nt_std,Nt_minus,Nt_plus
0,5000,4888.9,4959.16,143.709,4815.45,5102.87
1,10000,9716,9679.36,287.335,9392.03,9966.7
2,15000,14531.5,14423.3,456.815,13966.5,14880.1
3,20000,19336.3,19125.7,541.582,18584.1,19667.3
4,25000,24147.2,23978.4,623.353,23355,24601.7
5,30000,28950.4,28774.4,818.433,27956,29592.8
6,35000,33739.7,33521.4,1154.09,32367.3,34675.5
7,40000,38532.9,38510,1199.88,37310.1,39709.9
8,45000,43319.4,43144.6,1535.73,41608.9,44680.3
9,50000,48099.2,47638.5,1590.28,46048.2,49228.8
