algorithm,dataset,size,comparisons,time_microseconds
quicksort,random,100,2065,76
quicksort,reversed,100,6847,326
quicksort,almost_sorted,100,6077,252
quicksort,random,200,4673,174
quicksort,reversed,200,23723,1040
quicksort,almost_sorted,200,22933,1001
quicksort,random,300,6183,262
quicksort,reversed,300,50512,2261
quicksort,almost_sorted,300,40962,1650
quicksort,random,400,7682,322
quicksort,reversed,400,87319,3781
quicksort,almost_sorted,400,76998,3126
quicksort,random,500,8215,348
quicksort,reversed,500,134105,5700
quicksort,almost_sorted,500,120362,4852
quicksort,random,600,9754,423
quicksort,reversed,600,191128,8105
quicksort,almost_sorted,600,170843,6989
quicksort,random,700,11457,494
quicksort,reversed,700,260440,10951
quicksort,almost_sorted,700,233946,9578
quicksort,random,800,12659,560
quicksort,reversed,800,337604,14684
quicksort,almost_sorted,800,109163,4497
quicksort,random,900,14110,634
quicksort,reversed,900,425606,17953
quicksort,almost_sorted,900,182729,7590
quicksort,random,1000,16793,717
quicksort,reversed,1000,522714,22006
quicksort,almost_sorted,1000,269784,11131
quicksort,random,1100,18044,802
quicksort,reversed,1100,629576,26413
quicksort,almost_sorted,1100,218686,9067
quicksort,random,1200,21608,944
quicksort,reversed,1200,746101,31233
quicksort,almost_sorted,1200,118558,4878
quicksort,random,1300,22394,997
quicksort,reversed,1300,873096,36577
quicksort,almost_sorted,1300,196387,8156
quicksort,random,1400,23251,1041
quicksort,reversed,1400,1009689,50437
quicksort,almost_sorted,1400,92083,3882
quicksort,random,1500,27444,1208
quicksort,reversed,1500,1156617,48232
quicksort,almost_sorted,1500,231409,9559
quicksort,random,1600,27350,1227
quicksort,reversed,1600,1313573,54724
quicksort,almost_sorted,1600,83732,3487
quicksort,random,1700,31634,1403
quicksort,reversed,1700,1480429,61922
quicksort,almost_sorted,1700,94792,3925
quicksort,random,1800,30116,1345
quicksort,reversed,1800,1657324,69233
quicksort,almost_sorted,1800,126262,5214
quicksort,random,1900,35247,1554
quicksort,reversed,1900,1845590,77255
quicksort,almost_sorted,1900,191311,7865
quicksort,random,2000,37405,1669
quicksort,reversed,2000,2045138,85095
quicksort,almost_sorted,2000,165647,7007
quicksort,random,2100,38154,1705
quicksort,reversed,2100,2251645,102163
quicksort,almost_sorted,2100,121241,5069
quicksort,random,2200,40419,1802
quicksort,reversed,2200,2468949,103869
quicksort,almost_sorted,2200,125120,5283
quicksort,random,2300,41729,1860
quicksort,reversed,2300,2696402,112884
quicksort,almost_sorted,2300,213603,9086
quicksort,random,2400,41164,1848
quicksort,reversed,2400,2933866,122798
